Year,,Wetlands,Livestock,Waste,Oil/Gas,Coal,Rice,Anthropogenic
2019,min,169.91086593279277,116.5490258998889,80.19877316427147,52.211648744533335,22.18895960831924,34.72136480780592,359.468730326809
2019,max,183.5326153003821,126.12261382171666,85.97135533992382,56.074837028345414,23.31783968766674,38.38985523849223,379.7196215939736
2020,min,169.5527911680243,124.6090092228426,84.46892360021519,56.88613272551714,22.180117215646558,29.534593767124097,376.13616080767935
2020,max,183.43678430195,138.70205851143388,89.8755085944778,62.52642841827095,23.493496945177558,33.84359364848658,404.7712391370587
2021,min,177.60113644048627,134.02299682568614,89.12014155617844,55.71969917673381,22.975739613131353,31.493908114805127,394.81779163716317
2021,max,182.712412754073,143.53284804900935,95.14065292600424,58.73937423002761,27.28980536370473,34.1336455028955,416.55401850192146
2022,min,168.95492416218687,132.3077160409586,87.12912713563657,51.753272291892486,21.806033708026966,30.99604465252878,380.7396888733691
2022,max,175.6793432199063,135.60751185441293,91.41726289670291,54.343735086061415,22.093374965169833,31.77143518726899,391.8654052757148
2023,min,155.71362578017983,134.81289533651116,89.57282622062868,51.35421367531381,22.888981906086357,30.58076343427812,388.3786934562412
2023,max,165.8523123482283,141.8763744774932,92.7641459773345,54.63079797775325,23.138890415185966,30.95835684631134,397.6259986508763
2024,min,157.21346543653195,138.58698800217104,91.8084369580358,47.62184938828827,22.957105762489864,29.76314882908076,390.9098520885468
2024,max,162.85911474270196,140.7189806913404,95.67500237535637,53.348072574896975,23.347657023287827,31.2922098443505,398.5305509022792
